DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,ACCOUNT TYPE
DIRECT MANAGING DIRECTOR AND RESOURCES,REGULATORY SERVICES SHARED SERVICES,01/05/2020,403227,Funeral Services Limited,995.00,REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,REGULATORY SERVICES SHARED SERVICES,01/05/2020,403227,Funeral Services Limited,995.00,REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01/05/2020,420221,South West Audit Partnership Limited,"3,350.00",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01/05/2020,422100,Dwr Cymru Cyf,"2,919.92",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,01/05/2020,422130,Dwr Cymru Cyf,"4,556.12",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,01/05/2020,440530,Allied Publicity Services (Manchester) Limited t/a APS Group,731.82,REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,01/05/2020,440530,Allied Publicity Services (Manchester) Limited t/a APS Group,807.54,REVENUE
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,01/05/2020,842164,RPA Quantity Surveyors Limited t/a RPA,"1,000.00",CAPITAL
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,01/05/2020,842166,RPA Quantity Surveyors Limited t/a RPA,"1,250.00",CAPITAL
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,01/05/2020,842177,Horizon Civil Engineering Limited,"41,391.56",CAPITAL
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/05/2020,101007,Mark Haycock & Ptn T/A Halo Support,"1,000.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/05/2020,260156,Cardiff & Vale University Local Health Board,"-3,148.80",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/05/2020,260156,Cardiff & Vale University Local Health Board,"1,150.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,01/05/2020,260156,Cardiff & Vale University Local Health Board,"1,474.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/05/2020,101141,Celtic Teachers Limited,523.80,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,01/05/2020,102632,New Directions (Education) Limited,552.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,01/05/2020,102632,New Directions (Education) Limited,559.36,REVENUE
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,01/05/2020,407119,Hays Specialist Recruitment Limited,979.19,REVENUE
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,01/05/2020,407119,Hays Specialist Recruitment Limited,"1,330.21",REVENUE
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,01/05/2020,407119,Hays Specialist Recruitment Limited,"1,558.00",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/05/2020,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,"1,419.17",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/05/2020,102593,Andrew Dunn T/A Aqua-Air Jetting Equipment,"3,239.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/05/2020,102593,Frame Collective CIC,"1,280.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,04/05/2020,100303,A & R Contract Cleaning Specialist Limited,525.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,04/05/2020,100303,A & R Contract Cleaning Specialist Limited,629.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,04/05/2020,100303,A & R Contract Cleaning Specialist Limited,"1,052.75",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,04/05/2020,100303,A & R Contract Cleaning Specialist Limited,"2,304.08",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101094,A-Day Consultants Limited T/A Academics,874.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101094,2simple Software Limited,"1,920.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101094,A & R Contract Cleaning Specialist Limited,"2,141.98",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101095,ExtraScope Limited t/a ExtraScope IT Services,500.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101095,ParentPay Limited,510.80,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101095,Biffa Waste Services Limited,598.80,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101095,Capital Law Limited,659.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101095,PEAC (UK) Limited,862.80,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101095,Chubb Fire & Security Limited,931.97,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101095,I Teach (Wales) Limited,"2,950.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101213,The Assessment Foundation CIC,876.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101213,A & R Contract Cleaning Specialist Limited,"1,095.31",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101308,Peyton Travel Limited,600.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101315,ParentPay Limited,502.80,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,04/05/2020,102632,Inspired Learners Limited,"1,190.00",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,04/05/2020,140121,The Review Team Limited,"21,132.00",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,04/05/2020,140122,Childcare Vouchers Limited,"13,371.80",REVENUE
DIRECT LEARNING AND SKILLS,GF CATERING,04/05/2020,154401,DairyLink UK Limited,"12,190.54",REVENUE
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,04/05/2020,212781,Courtney-Thorne Limited,"1,613.91",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/05/2020,215489,E&G Senior Care Limited t/a Right at Home (Bridgend & Vale of Glamorgan),514.62,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/05/2020,215489,E&G Senior Care Limited t/a Right at Home (Bridgend & Vale of Glamorgan),514.62,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/05/2020,215489,E&G Senior Care Limited t/a Right at Home (Bridgend & Vale of Glamorgan),769.75,REVENUE
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,04/05/2020,216002,HD Adcock (Nelson) Limited,778.22,REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,The National Fostering Agency Limited,"1,814.88",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,The National Fostering Agency Limited,"3,060.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,The National Fostering Agency Limited,"3,064.20",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,The National Fostering Agency Limited,"3,243.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,The National Fostering Agency Limited,"3,243.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,The National Fostering Agency Limited,"3,402.90",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,The National Fostering Agency Limited,"3,402.90",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,The National Fostering Agency Limited,"3,402.90",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,The National Fostering Agency Limited,"3,402.90",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,TLC (Wales) Independent Fostering Limited,"3,410.69",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,Foster Care Associates Limited,"3,506.40",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,Landsker Child Care Limited,"3,575.45",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,Foster Care Associates Limited,"3,615.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,Foster Care Associates Limited,"3,615.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,The National Fostering Agency Limited,"3,631.20",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,TLC (Wales) Independent Fostering Limited,"3,645.91",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,TLC (Wales) Independent Fostering Limited,"3,645.91",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,Mulberry Foster Care Limited,"5,292.14",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,The National Fostering Agency Limited,"5,442.90",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,Hafan Saff Cyf,"5,707.13",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,Stepping Stones Care Services (South Wales) Limited,"12,000.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,Birribi Limited,"23,028.66",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,Orbis Education and Care Limited,"24,327.38",REVENUE
DIRECT ENVIRONMENT AND HOUSING,TRADING - BUILDING,04/05/2020,303000,Kirona Solutions Limited,"8,966.66",REVENUE
DIRECT ENVIRONMENT AND HOUSING,TRADING - BUILDING,04/05/2020,303000,Fujitsu Services Limited,"80,269.61",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,04/05/2020,333500,Fiddes & Son Limited T/A Bowcom,540.00,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,04/05/2020,333550,Fiddes & Son Limited T/A Bowcom,540.00,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,04/05/2020,333550,Ace Site Services (UK) Limited,"3,325.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,04/05/2020,354729,Tom Prichard Contracting Limited,"2,703.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,04/05/2020,365763,JCP Solicitors Limited,"15,599.52",REVENUE
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,04/05/2020,407111,High Street Solicitors Limited,"2,000.00",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,04/05/2020,440539,Castell Howell Foods Limited,918.00,REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF CORPORATE AND CUSTOMER SERVICES,04/05/2020,440539,Castell Howell Foods Limited,"4,290.85",REVENUE
DIRECT POLICY,GF GENERAL EXPENDITURE POLICY,04/05/2020,471900,Boverton Post Office & General Store,"6,500.00",REVENUE
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,04/05/2020,810119,CHAPS ONLY - Morgan Sindall Construction & Infrastructure Limited,"923,772.06",CAPITAL
DIRECT CAPITAL DEVELOPMENT,CAPITAL ECO DEV,04/05/2020,834231,Capita Property and Infrastructure Limited,"17,720.84",CAPITAL
DIRECT CAPITAL DEVELOPMENT,CAPITAL ECO DEV,04/05/2020,834262,Master Lettings Limited,"14,626.19",CAPITAL
DIRECT CAPITAL DEVELOPMENT,CAPITAL PRIV HSG,04/05/2020,845003,Handicare Accessibility Limited,750.00,CAPITAL
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/05/2020,215487,Cardiff County Council,"2,711,039.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,04/05/2020,323688,Rhondda Cynon Taf County Borough Council,910.00,REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,209151,Joanne Weston,696.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/05/2020,217909,Bridgend College,"11,318.18",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/05/2020,217909,Bridgend College,"12,854.67",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/05/2020,217909,Bridgend College,"12,854.87",REVENUE
DIRECT POLICY,GF GENERAL EXPENDITURE POLICY,04/05/2020,471901,South Wales Fire and Rescue Service,"531,725.00",REVENUE
DIRECT POLICY,GF FUNDING,04/05/2020,475970,The Police and Crime Commissioner for South Wales,"1,381,891.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101032,Teaching Personnel Limited,522.96,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101032,Teaching Personnel Limited,871.60,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101032,Teaching Personnel Limited,871.60,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101032,Teaching Personnel Limited,871.60,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101094,New Directions (Education) Limited,795.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101095,New Directions (Education) Limited,507.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101315,New Directions (Education) Limited,558.42,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101315,New Directions (Education) Limited,930.70,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101315,New Directions (Education) Limited,"1,130.25",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101315,Teaching Personnel Limited,"1,568.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,04/05/2020,101315,Teaching Personnel Limited,"1,638.50",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/05/2020,217909,April Complete Care Solutions Limited,834.50,REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,04/05/2020,400050,Sellick Partnership Limited,"1,785.58",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/05/2020,215489,Glamorgan Home Care Limited t/a Home Instead Senior Care,560.28,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/05/2020,216179,Amethyst Health Care Limited t/a The Willows,"7,752.60",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,04/05/2020,216179,Amethyst Health Care Limited t/a Hillstone House,"8,042.04",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,04/05/2020,130271,Glamorgan Voluntary Services,"2,500.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,Barnardos Cymru,"2,978.57",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,Barnardos Cymru,"3,004.29",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,Barnardos Cymru,"3,595.71",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,Action for Children,"52,904.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260060,Action for Children,"52,904.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,04/05/2020,260085,Action for Children,"39,197.00",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Caring Companions Limited,500.81,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,1st Grade Care Limited,502.89,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Hallows Care Limited T/A Hallows Care,509.41,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,All Saints DC Limited,511.01,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,GJ Care & Training Limited,514.10,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,All Care (South Wales) Limited,514.58,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Caring Companions Limited,514.94,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Cherish Cymru Limited,538.31,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,All Saints DC Limited,556.86,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Hallows Care Limited T/A Hallows Care,560.16,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Heidi Christoforato t/a Churchfields Home Care,572.16,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,1st Grade Care Limited,585.94,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Bespoke Senior Care Limited T/A Home Instead Senior Care,587.20,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Caring Companions Limited,597.64,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Caring Companions Limited,598.29,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Caring Companions Limited,598.29,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Willowmere Home Care Agency Limited,604.50,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Cherish Cymru Limited,605.48,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,All Saints DC Limited,606.98,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,GJ Care & Training Limited,614.99,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Annwyl Limited t/a Bluebird Care,615.05,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Willowmere Home Care Agency Limited,616.86,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Parkrow Care Limited,620.45,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Caring Companions Limited,628.50,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Hallows Care Limited T/A Hallows Care,628.57,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Cherish Cymru Limited,634.50,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,All Saints DC Limited,636.51,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Willowmere Home Care Agency Limited,637.30,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,GJ Care & Training Limited,638.32,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,1st Grade Care Limited,640.77,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,1st Grade Care Limited,640.78,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,All Care (South Wales) Limited,642.85,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Annwyl Limited t/a Bluebird Care,643.44,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,All Care (South Wales) Limited,646.95,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Hallows Care Limited T/A Hallows Care,650.33,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Willowmere Home Care Agency Limited,654.47,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Willowmere Home Care Agency Limited,655.35,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Hallows Care Limited T/A Hallows Care,658.06,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Caring Companions Limited,658.85,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Heidi Christoforato t/a Churchfields Home Care,660.62,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Parkrow Care Limited,663.99,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,05/05/2020,215489,Hallows Care Limited T/A Hallows Care,674.67,REVENUE
