Directorate,Sub Directorate,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,Type,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Willowmere Home Care Agency Limited,685.88,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Parkrow Care Limited,709.36,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Willowmere Home Care Agency Limited,714.40,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Parkrow Care Limited,717.98,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,737.75,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,737.75,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,737.75,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Willowmere Home Care Agency Limited,752.96,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,755.52,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,755.52,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,755.52,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,759.36,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,759.36,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,759.36,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,761.05,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,761.05,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,761.05,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,764.78,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,765.94,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,765.94,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,765.94,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Willowmere Home Care Agency Limited,768.43,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Willowmere Home Care Agency Limited,791.75,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Willowmere Home Care Agency Limited,791.75,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,818.34,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,818.34,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Care In Wales Limited T/A Care in the Vale,818.34,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Willowmere Home Care Agency Limited,833.92,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Willowmere Home Care Agency Limited,968.22,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Grangelodge Residential Home Limited t/a Grangelodge,533.36,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Linc-Cymru Housing Association Limited t/a Ty Coch Care Home,662.58,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Hafod Care Association Limited t/a St Isan Care Home,"2,500.00",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,500.63,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Middlepatch Limited T/A College Fields Nursing Home,501.38,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Middlepatch Limited T/A College Fields Nursing Home,504.30,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,507.05,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,507.25,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Springbank Care Home Limited T/A Springbank Nursing Home,508.51,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Springbank Care Home Limited T/A Springbank Nursing Home,511.25,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Springbank Care Home Limited T/A Springbank Nursing Home,514.48,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Waverley Care Centre Limited,516.48,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Waverley Care Centre Limited,518.25,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Middlepatch Limited T/A College Fields Nursing Home,518.74,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Springbank Care Home Limited T/A Springbank Nursing Home,519.21,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Bellavista Care (Cardiff) Limited T/A Bellavista Nursing Home Cardiff,524.19,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Springbank Care Home Limited T/A Springbank Nursing Home,526.43,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,MHA Care Group t/a Morel Court,527.59,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Northcote Developments Limited,531.92,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Baltimore Care Limited,532.65,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,532.65,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,532.65,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Baltimore Care Limited,533.25,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Hafod Housing Association Limited T/A Brocastle Manor (Care Home),533.68,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Northcote Developments Limited,534.54,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Waverley Care Centre Limited,535.83,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Bellavista Care (Cardiff) Limited T/A Bellavista Nursing Home Cardiff,536.12,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Northcote Developments Limited,537.07,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,538.25,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Middlepatch Limited T/A College Fields Nursing Home,538.39,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Middlepatch Limited T/A College Fields Nursing Home,541.56,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Baltimore Care Limited,542.65,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Northcote Developments Limited,544.80,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,MHA Care Group t/a Morel Court,547.47,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,The Royal Masonic Benevolent Institution Care Company T/A Albert Edward Prince of Wales Court,548.01,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Springbank Care Home Limited T/A Springbank Nursing Home,557.39,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Waverley Care Centre Limited,557.84,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Waverley Care Centre Limited,559.25,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Middlepatch Limited T/A College Fields Nursing Home,560.41,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Waverley Care Centre Limited,562.32,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Middlepatch Limited T/A College Fields Nursing Home,565.75,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Middlepatch Limited T/A College Fields Nursing Home,566.94,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Waverley Care Centre Limited,572.64,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,572.90,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Acorn Luxury Care Limited,579.82,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Middlepatch Limited T/A College Fields Nursing Home,593.31,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Beatrice Webb Residential Home,598.00,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Middlepatch Limited T/A College Fields Nursing Home,605.60,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Middlepatch Limited T/A College Fields Nursing Home,605.60,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,The Manor House St Hilary Limited T/A The Manor House,606.00,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Waverley Care Centre Limited,606.00,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Waverley Care Centre Limited,607.00,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Springbank Care Home Limited T/A Springbank Nursing Home,612.66,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Middlepatch Limited T/A College Fields Nursing Home,616.01,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Middlepatch Limited T/A College Fields Nursing Home,619.13,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Middlepatch Limited T/A College Fields Nursing Home,622.04,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,MHA Care Group t/a Morel Court,622.61,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Waverley Care Centre Limited,623.95,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Middlepatch Limited T/A College Fields Nursing Home,624.19,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Middlepatch Limited T/A College Fields Nursing Home,624.19,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Middlepatch Limited T/A College Fields Nursing Home,624.19,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Middlepatch Limited T/A College Fields Nursing Home,624.19,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Middlepatch Limited T/A College Fields Nursing Home,634.20,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Springbank Care Home Limited T/A Springbank Nursing Home,646.00,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Springbank Care Home Limited T/A Springbank Nursing Home,648.26,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Oakville Care Limited t/a Romilly Nursing Home,667.28,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Springbank Care Home Limited T/A Springbank Nursing Home,684.15,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Waverley Care Centre Limited,695.59,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Waverley Care Centre Limited,736.79,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Waverley Care Centre Limited,736.79,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Middlepatch Limited T/A College Fields Nursing Home,761.94,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Vale Care Services Limited,865.20,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Vale Care Services Limited,865.20,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Vale Care Services Limited,865.20,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Vale Care Services Limited,865.20,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Forge Care Homes Limited t/a The Forge Care Centre,925.00,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Waverley Care Centre Limited,926.00,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Springbank Care Home Limited T/A Springbank Nursing Home,"1,212.00",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,Leonard Cheshire Disability,"1,319.31",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,215489,The Manor House St Hilary Limited T/A Milsom House,"2,424.00",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,216179,Willowmere Home Care Agency Limited,961.74,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,216179,Grangelodge Residential Home Limited t/a Grangelodge,851.05,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,216179,Springbank Care Home Limited T/A Springbank Nursing Home,507.05,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,216179,Springbank Care Home Limited T/A Springbank Nursing Home,547.05,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,216179,Springbank Care Home Limited T/A Springbank Nursing Home,547.05,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,216179,Crusader Medical Care Limited T/A St Saviours Nursing Home,561.05,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,216179,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,571.45,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,216179,Springbank Care Home Limited T/A Springbank Nursing Home,583.42,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,216179,Springbank Care Home Limited T/A Springbank Nursing Home,793.10,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,216179,Leonard Cheshire Disability,"1,248.73",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,216179,Llysywaun Limited t/a Bayview Lodge Nursing Home,"1,340.33",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,216179,Voyage 1 Limited t/a Falcons Rest & Poachers Cottage,"1,780.75",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,216179,Care 4 U (Neath) Limited,"1,806.90",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,216179,Amethyst Healthcare Limited t/a Hillstone House,"1,874.12",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,216179,Valebrook Care Homes Limited,"1,909.55",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,216179,Voyage 1 Limited t/a Brook Lodge,"2,606.71",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,216179,Springbank Care Home Limited T/A Springbank Nursing Home,"3,484.20",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,216181,Sanctuary Personnel Limited,"1,276.50",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,216181,Sanctuary Personnel Limited,"1,276.50",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,217909,Merricks Private Transport Contractors Limited,544.00,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,217909,Everycare (Cardiff) Limited,671.52,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,217909,Merricks Private Transport Contractors Limited,862.40,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,217909,Cartrefi Cymru Co-Operative Limited,"1,460.25",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,217909,Ategi Limited,"1,583.64",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,217909,Crosshands Limited t/a ACM Training,"2,160.00",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,217909,National Autistic Society,"2,258.58",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,217909,Consensus Support Services Limited t/a Ty Machen,"2,353.68",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,217909,HF Trust Limited,"4,463.20",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,217909,Crosshands Limited t/a ACM Training,"5,014.12",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,217909,April Complete Care Solutions Limited,874.41,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,217909,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,523.15,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,217909,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,534.51,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,217909,The Cedars Care Services Limited t/a The Willows,645.66,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,217909,The Cedars Care Services Limited t/a The Willows,968.49,Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,217909,Glasallt Fawr Camphill Centre,"1,046.12",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,217909,The Cedars Care Services Limited T/A Ashgrove Care Home,"1,056.04",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,217909,The Cedars Care Services Limited T/A Oaklands,"1,092.99",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,217909,Vale Phoenix Limited,"1,145.13",Revenue,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,03/09/2019,217909,Ocean Community Services Limited t/a Westminster Court Care Home,"1,152.42",Revenue,
