DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,TYPE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/11/2021,100304,Teaching Personnel Limited,561.05,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/11/2021,100304,Hays Specialist Recruitment Limited,591.69,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,01/11/2021,325682,Hays Specialist Recruitment Limited,"1,399.66",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,01/11/2021,400050,Sellick Partnership Limited,725.25,REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,01/11/2021,400050,Sellick Partnership Limited,"1,272.29",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2021,217691,Susan Heffernan T/A Baruc Guest House,945.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,01/11/2021,130276,Children in Wales,-750.00,REVENUE
DIRECT POLICY,GF GRANTS,01/11/2021,465201,Cowbridge Amateur Operatic Society,"2,960.00",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Caring Companions Limited,500.18,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Caring Companions Limited,540.54,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Caring Companions Limited,628.18,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Caring Companions Limited,628.18,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Caring Companions Limited,628.18,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Caring Companions Limited,642.73,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Caring Companions Limited,645.21,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Caring Companions Limited,691.60,REVENUE
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,02/11/2021,100121,XMA Limited,"3,350.70",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/11/2021,100805,M W Contracting Carpentry Services Limited,"3,000.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/11/2021,101007,Fronting The Challenge Projects Limited t/a Thrive,695.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/11/2021,101025,Mainline Coaches Limited,"1,800.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/11/2021,101031,Ecommercial Cleaning Services Limited,"1,800.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/11/2021,101031,VOG Fire & Security Limited,"2,965.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/11/2021,101055,Cornerstones Education Limited,900.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/11/2021,101055,Legacy Leisure Limited,"1,653.75",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/11/2021,101094,Twenty 4 Seven Education Limited,507.15,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/11/2021,101094,Twenty 4 Seven Education Limited,507.15,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/11/2021,101094,Twenty 4 Seven Education Limited,507.15,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/11/2021,101094,The Learning Partnership (Wales) Limited,775.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/11/2021,101094,E4Education Limited,862.50,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/11/2021,101094,A & R Contract Cleaning Specialist Limited,"2,190.17",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/11/2021,101134,A & R Contract Cleaning Specialist Limited,"1,122.10",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/11/2021,101261,The Firewood Company (UK) Limited T/A Esa Tree Care,575.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/11/2021,101261,The Learning Partnership (Wales) Limited,801.30,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/11/2021,101261,A & R Contract Cleaning Specialist Limited,"2,257.86",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,02/11/2021,102636,Merricks Private Transport Contractors Limited,"1,043.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOL IMPROVEMENT,02/11/2021,102636,CJ Contract Travel Services Limited,"1,050.50",REVENUE
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,02/11/2021,120080,Computacenter (UK) Limited,"1,794.40",REVENUE
DIRECT LEARNING AND SKILLS,CATERING COSTS IN SCHOOLS,02/11/2021,157800,DairyLink UK Limited,718.78,REVENUE
DIRECT LEARNING AND SKILLS,CATERING COSTS IN SCHOOLS,02/11/2021,157800,Castell Howell Foods Limited,"4,134.61",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Hengoed Court Care Home Limited,516.64,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Hafod Housing Association Limited,561.37,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Allied Health-Services Limited t/a Allied Healthcare,579.15,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Allied Health-Services Limited t/a Allied Healthcare,589.68,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Allied Health-Services Limited t/a Allied Healthcare,605.36,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Allied Health-Services Limited t/a Allied Healthcare,712.04,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Allied Health-Services Limited t/a Allied Healthcare,712.04,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Hafod Housing Association Limited,861.28,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,217905,Cartrefi Cymru Co-Operative Limited,592.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,217905,Cartrefi Cymru Co-Operative Limited,592.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,217905,Cartrefi Cymru Co-Operative Limited,592.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,217905,Cartrefi Cymru Co-Operative Limited,592.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,217905,Innovate Trust Limited,"1,776.00",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,217905,Innovate Trust Limited,"1,776.00",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,217905,Innovate Trust Limited,"1,776.00",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,217905,Innovate Trust Limited,"1,776.00",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,218321,Accurocare St. John's Home Limited,795.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,218419,Cartref Limited - Cardiff,850.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,218419,Linc-Cymru Housing Association T/A Penylan House Community Nursing Home,"1,320.87",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,218419,Linc-Cymru Housing Association T/A Penylan House Community Nursing Home,"1,320.87",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,218419,Cartref Limited - Cardiff,"3,035.71",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/11/2021,260060,Foster Care Associates Limited,"2,600.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/11/2021,260060,Safer Fostering CIC,"2,903.50",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/11/2021,260060,Greenfields Adolescent Development Limited,"5,957.16",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/11/2021,260060,Foster Care Group Wales Cyf,"18,950.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/11/2021,260060,Birribi Limited,"19,864.20",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/11/2021,260060,Bespoke Care Group Limited,"21,200.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/11/2021,260060,Bespoke Care Group Limited,"21,200.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/11/2021,260060,Birribi Limited,"23,147.10",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/11/2021,260115,Llamau Limited,"9,259.75",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/11/2021,260130,E4Law Limited t/a Lextox,"2,534.72",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/11/2021,260150,Absolute Translations Limited,637.47,REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/11/2021,260210,3R Finance Limited,"1,731.23",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/11/2021,260220,Lim Perkins Healthcare Limited,"1,105.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/11/2021,260255,Neal Social Care Limited,"1,331.67",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/11/2021,260265,Cheka Safeguarding Services Limited,"3,777.25",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02/11/2021,323771,Severnside Transport Data Collection Limited,990.00,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02/11/2021,325380,Kordel Limited,809.38,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02/11/2021,325380,Kordel Limited,975.00,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02/11/2021,325380,Kordel Limited,"1,941.81",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02/11/2021,325380,Kordel Limited,"2,329.23",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02/11/2021,325380,Kordel Limited,"3,438.99",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02/11/2021,325385,Dragon Asphalt Limited,748.44,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02/11/2021,325385,Kordel Limited,809.37,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02/11/2021,325385,Kordel Limited,924.50,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02/11/2021,325385,Kordel Limited,"3,874.99",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02/11/2021,325501,Dragon Asphalt Limited,783.72,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02/11/2021,325600,Kordel Limited,"1,436.44",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02/11/2021,341225,CK International Limited,"2,745.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02/11/2021,341225,Penllyn Estate LLP,"10,050.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,02/11/2021,354037,Ash Futures Limited,"5,000.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,02/11/2021,354727,C & J Barrett Limited,"1,710.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/11/2021,359341,M W Contracting Carpentry Services Limited,"6,030.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,02/11/2021,359457,Glamorgan Star Limited,874.00,REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02/11/2021,365784,Friends Of Pedal Power Project Limited,500.00,REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/11/2021,365786,Easyway Minicoach Hire Limited,"8,774.44",REVENUE
DIRECT ENVIRONMENT AND HOUSING,VISIBLE SERVICES,02/11/2021,365786,New Adventure Travel Limited,"27,284.31",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF HOUSING SERVICES,02/11/2021,402422,VOG Fire & Security Limited,"14,760.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,02/11/2021,407100,NEC Software Solutions UK Limited,818.55,REVENUE
DIRECT ENVIRONMENT AND HOUSING,HRA MANAGEMENT,02/11/2021,407106,Insight Direct (UK) Limited,"1,508.00",REVENUE
DIRECT ENVIRONMENT AND HOUSING,HRA REPAIRS,02/11/2021,409102,Lightning Solutions (Wales) Limited,535.40,REVENUE
DIRECT ENVIRONMENT AND HOUSING,HRA REPAIRS,02/11/2021,409102,Lightning Solutions (Wales) Limited,558.86,REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF RESOURCES,02/11/2021,421230,Telefonica UK Limited t/a O2,"2,780.00",REVENUE
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,02/11/2021,810121,AECOM Limited,"12,316.15",CAPITAL
DIRECT CAPITAL LEARN AND SKILLS,CAPITAL SCHOOLS,02/11/2021,810123,AECOM Limited,"14,639.00",CAPITAL
DIRECT CAPITAL LEARN AND SKILLS,AR CAPITAL SCHOOLS,02/11/2021,812465,SMK Building & Maintenance Limited,"26,663.84",CAPITAL
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HIGHWAYS,02/11/2021,831590,Costain Integrated Technology Solutions Limited,"15,548.12",CAPITAL
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL ECO DEV,02/11/2021,834270,DAB Graphics Limited,"3,998.00",CAPITAL
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL PLANNING,02/11/2021,837205,Camera Centre UK Limited,"1,571.62",CAPITAL
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL HRA,02/11/2021,842262,SMK Building & Maintenance Limited,"34,952.85",CAPITAL
DIRECT ENVIRONMENT AND HOUSING,GF ENV AND VISIBLE,02/11/2021,323200,Denbighshire County Council,"29,475.20",REVENUE
DIRECT ENVIRONMENT AND HOUSING,GF PARKS AND GROUNDS,02/11/2021,333600,Jonathan Edwards & Ptn T/A Jonathan Edwards & Son,"2,227.00",REVENUE
DIRECT CAPITAL VISIBLE AND HOUSING SERVICES,CAPITAL ECO DEV,02/11/2021,834270,John Crockford & Ptn t/a G & J Crockford,"2,295.00",CAPITAL
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/11/2021,101140,Nancy Evans,"1,650.00",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF HUMAN RESOURCES,02/11/2021,140117,Andrea Kemp t/a The Lighthouse Counselling,"1,880.00",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215481,Adrian J Francis,"2,625.00",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/11/2021,260150,Eleri Foster,"1,904.40",REVENUE
DIRECT MANAGING DIRECTOR AND RESOURCES,GF LEGAL AND DEMOCRATIC,02/11/2021,400050,Pravin Fernando,900.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,218321,Cardiff & Vale University Local Health Board,"5,211.14",REVENUE
DIRECT SOCIAL SERVICES,GF CHILDREN SERVICES,02/11/2021,260140,Swansea University,"6,765.00",REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,02/11/2021,100304,Millennium Personnel Services (Education) Limited,561.60,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,02/11/2021,100304,Apollo Teaching Services Limited,936.10,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/11/2021,101300,Celtic Teachers Limited,543.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,02/11/2021,101300,Celtic Teachers Limited,905.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,02/11/2021,103002,New Directions (Education) Limited,968.00,REVENUE
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,02/11/2021,103300,Celtic Teachers Limited,"1,223.65",REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,IOS Recruitment & Training Services Limited,595.00,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Northcote Developments Limited,500.87,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,503.87,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Cheerful Elegant Healthcare Limited t/a Channel View Residential Care Home,505.74,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,506.65,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Middlepatch Limited T/A College Fields Nursing Home,506.84,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,507.14,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,HC-One Limited t/a Glanffrwd Care Home,508.71,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Northcote Developments Limited,511.38,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Middlepatch Limited T/A College Fields Nursing Home,511.69,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,513.85,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,514.13,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,515.88,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,515.88,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,515.88,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,515.88,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Hebron Hall Limited,515.88,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,515.88,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,515.88,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,515.88,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Northcote Developments Limited,515.88,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Springbank Care Home Limited T/A Springbank Nursing Home,515.88,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Springbank Care Home Limited T/A Springbank Nursing Home,515.88,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,The Manor House St Hilary Limited T/A Milsom House,515.88,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Waverley Care Centre Limited,515.88,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Springbank Care Home Limited T/A Springbank Nursing Home,516.27,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Springbank Care Home Limited T/A Springbank Nursing Home,520.08,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Waverley Care Centre Limited,522.41,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Hebron Hall Limited,526.35,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Springbank Care Home Limited T/A Springbank Nursing Home,528.51,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Middlepatch Limited T/A College Fields Nursing Home,534.80,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Northcote Developments Limited,537.04,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Hebron Hall Limited,538.93,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Waverley Care Centre Limited,539.65,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Middlepatch Limited T/A College Fields Nursing Home,542.30,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Jah-Jireh Homes Limited,543.86,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Northcote Developments Limited,554.51,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Waverley Care Centre Limited,556.14,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Middlepatch Limited T/A College Fields Nursing Home,561.19,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Middlepatch Limited T/A College Fields Nursing Home,561.69,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Middlepatch Limited T/A College Fields Nursing Home,562.95,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,563.10,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Springbank Care Home Limited T/A Springbank Nursing Home,563.44,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Springbank Care Home Limited T/A Springbank Nursing Home,570.86,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Hebron Hall Limited,571.47,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,576.77,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Northcote Developments Limited,578.51,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Middlepatch Limited T/A College Fields Nursing Home,588.88,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Waverley Care Centre Limited,590.38,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,MHA Care Group t/a Morel Court,592.93,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,593.11,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Mary Griffiths T/A Ty Melin Residential Home,593.79,REVENUE
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,02/11/2021,215489,Waverley Care Centre Limited,594.37,REVENUE
