DIRECTORATE,SUB DIRECTORATE,"ACCOUNTING
DATE",COST CENTRE,VENDOR NAME,INVOICE DISTRIBUTION AMOUNT,TYPE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101030,Schools EDI - EDF Energy Plc,"1,450.32",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101031,Schools EDI - EDF Energy Plc,752.90,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101031,Schools EDI - EDF Energy Plc,"1,983.06",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101032,Schools EDI - EDF Energy Plc,"2,374.28",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101047,Schools EDI - EDF Energy Plc,611.91,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101047,Schools EDI - EDF Energy Plc,721.39,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101047,Schools EDI - EDF Energy Plc,"1,492.21",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101055,Schools EDI - EDF Energy Plc,873.08,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101063,Schools EDI - EDF Energy Plc,"1,420.26",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101075,Schools EDI - EDF Energy Plc,"1,990.34",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101094,Schools EDI - EDF Energy Plc,"2,170.10",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101095,Now Education Group Limited,527.75,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101095,Now Education Group Limited,527.75,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101095,Now Education Group Limited,527.75,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101095,Schools EDI - EDF Energy Plc,700.68,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101095,Schools EDI - EDF Energy Plc,"2,408.81",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101110,Schools EDI - EDF Energy Plc,820.19,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101110,Schools EDI - EDF Energy Plc,913.90,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101110,Schools EDI - EDF Energy Plc,"1,132.53",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101134,Schools EDI - EDF Energy Plc,"1,264.70",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101137,Schools EDI - EDF Energy Plc,"1,951.90",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101140,Schools EDI - EDF Energy Plc,726.39,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101141,Schools EDI - EDF Energy Plc,"2,126.14",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101145,Schools EDI - EDF Energy Plc,"1,718.58",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101171,Schools EDI - EDF Energy Plc,"1,761.91",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101173,Schools EDI - EDF Energy Plc,"2,441.07",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101180,Schools EDI - EDF Energy Plc,"1,493.77",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101195,Schools EDI - EDF Energy Plc,"2,832.86",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101202,Schools EDI - EDF Energy Plc,920.18,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101202,Schools EDI - EDF Energy Plc,"1,010.21",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101202,Schools EDI - EDF Energy Plc,"2,887.64",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101213,Schools EDI - EDF Energy Plc,"2,083.32",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101216,Schools EDI - EDF Energy Plc,970.32,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101221,Schools EDI - EDF Energy Plc,-807.87,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101221,Schools EDI - EDF Energy Plc,-777.93,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101221,Schools EDI - EDF Energy Plc,568.87,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101221,Schools EDI - EDF Energy Plc,775.80,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101221,Schools EDI - EDF Energy Plc,902.87,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101229,Schools EDI - EDF Energy Plc,638.10,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101229,Schools EDI - EDF Energy Plc,"1,754.92",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101233,Schools EDI - EDF Energy Plc,"2,712.59",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101241,Schools EDI - EDF Energy Plc,"1,321.67",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101261,Schools EDI - EDF Energy Plc,"3,050.87",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101261,New Directions (Education) Limited,769.28,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101285,Schools EDI - EDF Energy Plc,679.39,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101285,Schools EDI - EDF Energy Plc,"1,595.18",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101300,Schools EDI - EDF Energy Plc,"1,881.95",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101304,Schools EDI - EDF Energy Plc,"2,013.19",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101305,Schools EDI - EDF Energy Plc,"1,461.39",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101306,Schools EDI - EDF Energy Plc,"1,134.16",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101308,Schools EDI - EDF Energy Plc,747.74,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101315,Schools EDI - EDF Energy Plc,"1,032.38",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,101317,Schools EDI - EDF Energy Plc,"1,693.12",REVENUE,,,
DIRECT LEARNING AND SKILLS,STANDARDS AND PROVISIONS,01/11/2022,102636,Now Education Group Limited,553.85,REVENUE,,,
DIRECT LEARNING AND SKILLS,STANDARDS AND PROVISIONS,01/11/2022,102636,Now Education Group Limited,553.85,REVENUE,,,
DIRECT LEARNING AND SKILLS,STANDARDS AND PROVISIONS,01/11/2022,102636,Schools EDI - EDF Energy Plc,949.22,REVENUE,,,
DIRECT LEARNING AND SKILLS,STANDARDS AND PROVISIONS,01/11/2022,102636,Merricks Private Transport Contractors Limited,"2,768.00",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/11/2022,103013,Prospero Recruitment Limited,500.08,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/11/2022,103013,Prospero Recruitment Limited,625.10,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/11/2022,103202,A-Day Consultants Limited T/A Academics,989.60,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/11/2022,103227,A-Day Consultants Limited T/A Academics,548.50,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS NON DELEGATED,01/11/2022,103412,Jennifer Griffiths Recruitment & Training Limited,535.95,REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,104381,Schools EDI - EDF Energy Plc,"1,154.76",REVENUE,,,
DIRECT LEARNING AND SKILLS,SCHOOLS DELEGATED,01/11/2022,104385,Schools EDI - EDF Energy Plc,"1,172.65",REVENUE,,,
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,01/11/2022,130041,Schools EDI - EDF Energy Plc,540.90,REVENUE,,,
DIRECT LEARNING AND SKILLS,STRATEGY COMMUNITY LEARNING & RESOURCES,01/11/2022,130045,Edson Print (Services) Limited,"1,163.00",REVENUE,,,
DIRECT ENVIRONMENT AND HOUSING,NEW REGENERATION,01/11/2022,130503,Complete Business Solutions Group Limited,"1,383.68",REVENUE,,,
DIRECT LEARNING AND SKILLS,CATERING COSTS IN SCHOOLS,01/11/2022,156002,ABM Catering for Leisure Limited,"5,572.00",REVENUE,,,
DIRECT LEARNING AND SKILLS,CATERING COSTS IN SCHOOLS,01/11/2022,156004,Big Fresh Catering Company Limited,"3,436.40",REVENUE,,,
DIRECT SOCIAL SERVICES,GF RESOURCES MANAGEMENT & SAFEGUARDING,01/11/2022,212731,Castell Howell Foods Limited,519.84,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,All Saints DC Limited,524.34,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,All Saints DC Limited,568.68,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Cherish Cymru Limited,591.84,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Cherish Cymru Limited,604.17,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Cherish Cymru Limited,604.17,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Cherish Cymru Limited,616.50,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,iMeUs Healthcare Limited,630.00,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,iMeUs Healthcare Limited,630.00,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,All Saints DC Limited,690.20,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,iMeUs Healthcare Limited,700.00,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,iMeUs Healthcare Limited,700.00,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,All Saints DC Limited,771.12,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Cherish Cymru Limited,776.79,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Cherish Cymru Limited,806.46,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,iMeUs Healthcare Limited,810.00,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Cherish Cymru Limited,818.93,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,All Saints DC Limited,869.98,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Cherish Cymru Limited,912.42,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,iMeUs Healthcare Limited,980.00,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,All Saints DC Limited,"1,133.92",REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Cwtch Care Limited,526.85,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Cwtch Care Limited,526.85,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Cwtch Care Limited,537.90,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Cwtch Care Limited,540.00,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Cwtch Care Limited,540.00,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Cwtch Care Limited,620.90,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Cwtch Care Limited,620.90,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Cwtch Care Limited,899.46,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Cwtch Care Limited,899.46,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Moorhouse Care Services Limited t/a Moor House Residential Care Home,993.44,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Foxtroy Limited T/A Foxtroy Residential Home,500.27,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,503.60,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,513.79,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Waverley Care Centre Limited,514.43,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,516.15,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,HC-One Limited t/a Glanffrwd Care Home,517.42,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,521.23,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Waverley Care Centre Limited,522.31,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Waverley Care Centre Limited,524.91,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,533.10,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Hafod Housing Association Limited T/A Brocastle Manor (Care Home),533.25,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,534.67,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,538.19,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Northcote Developments Limited,538.78,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Northcote Developments Limited,547.13,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Baltimore Care Limited,547.87,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,549.36,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Springbank Care Home Limited T/A Springbank Nursing Home,551.82,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Northcote Developments Limited,558.22,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Llangoedmor Properties Limited T/A Parkside Residential Home,559.14,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Springbank Care Home Limited T/A Springbank Nursing Home,564.85,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,566.04,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,568.95,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,HC-One Limited t/a Glanffrwd Care Home,570.43,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,576.55,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,583.88,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,584.97,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,584.97,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,584.97,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Hebron Hall Limited,584.97,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,584.97,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,584.97,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,584.97,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Northcote Developments Limited,584.97,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Waverley Care Centre Limited,584.97,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Middlepatch Limited T/A College Fields Nursing Home,586.38,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Springbank Care Home Limited T/A Springbank Nursing Home,592.16,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,593.19,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Capital Care Limited t/a Ael-Y-Bryn Care Home,593.20,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Springbank Care Home Limited T/A Springbank Nursing Home,594.41,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,The Manor House St Hilary Limited T/A Milsom House,594.58,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Hebron Hall Limited,595.88,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Waverley Care Centre Limited,598.11,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,598.75,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Springbank Care Home Limited T/A Springbank Nursing Home,600.99,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,601.84,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Northcote Developments Limited,606.48,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Northcote Developments Limited,608.06,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Waverley Care Centre Limited,609.10,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Hebron Hall Limited,612.37,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Middlepatch Limited T/A College Fields Nursing Home,618.30,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Waverley Care Centre Limited,619.60,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Northcote Developments Limited,628.08,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Middlepatch Limited T/A College Fields Nursing Home,632.05,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,637.39,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Middlepatch Limited T/A College Fields Nursing Home,645.66,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Springbank Care Home Limited T/A Springbank Nursing Home,647.35,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Bellavista Nursing Homes (Wales) Limited t/a Bellavista Care Home,647.77,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Middlepatch Limited T/A College Fields Nursing Home,648.86,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,652.57,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Waverley Care Centre Limited,667.81,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Baltimore Care Limited,669.46,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Waverley Care Centre Limited,670.50,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Middlepatch Limited T/A College Fields Nursing Home,673.67,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Springbank Care Home Limited T/A Springbank Nursing Home,673.78,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Waverley Care Centre Limited,674.22,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,676.06,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,MHA Care Group t/a Ty Gwyn Private Nursing Home,677.58,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Silvercrown Care Homes (Pontypridd) Limited T/A The Hollies Care Home,677.73,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Waverley Care Centre Limited,685.26,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Middlepatch Limited T/A College Fields Nursing Home,691.86,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Oak Care Limited t/a Cherry Tree Manor,692.24,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Middlepatch Limited T/A College Fields Nursing Home,692.61,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Springbank Care Home Limited T/A Springbank Nursing Home,694.01,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Broadway Care Centre Limited T/A Hazelhurst Nursing Home,694.65,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Springbank Care Home Limited T/A Springbank Nursing Home,696.70,REVENUE,,,
DIRECT SOCIAL SERVICES,GF ADULT SERVICES,01/11/2022,215489,Middlepatch Limited T/A College Fields Nursing Home,702.14,REVENUE,,,
